Sex,Embarked
male,S
female,C
female,S
female,S
male,S
male,Q
male,S
male,S
female,S
female,C
female,S
female,S
male,S
male,S
female,S
female,S
male,Q
male,S
female,S
female,C
male,S
male,S
female,Q
male,S
female,S
female,S
male,C
male,S
female,Q
male,S
male,C
female,C
female,Q
male,S
male,C
male,S
male,C
male,S
female,S
female,C
female,S
female,S
male,C
female,C
female,Q
male,S
male,Q
female,Q
male,C
female,S
male,S
male,S
female,C
female,S
male,C
male,S
female,S
male,C
female,S
male,S
male,C
female,
male,S
male,S
male,C
male,C
female,S
male,S
female,S
male,S
male,S
female,S
male,S
male,C
male,S
male,S
male,S
male,S
male,S
female,S
male,S
male,S
female,Q
male,S
female,S
female,S
male,S
male,S
female,S
male,S
male,S
male,S
male,S
male,S
male,S
male,S
male,C
male,C
female,S
male,S
female,S
male,S
male,S
male,S
male,S
male,S
female,S
male,S
male,S
female,Q
male,S
female,C
male,S
female,S
female,C
male,S
male,Q
male,S
male,C
female,S
male,S
male,S
male,C
female,S
male,S
male,C
male,Q
male,S
female,C
male,S
male,C
male,S
female,S
female,S
male,S
male,C
female,S
male,S
male,S
male,C
female,C
female,S
female,S
male,Q
male,S
male,S
male,S
female,S
male,S
male,S
male,S
female,S
male,S
male,S
male,S
male,C
female,Q
male,S
male,S
male,S
male,S
female,S
male,S
male,S
male,S
male,S
female,S
female,S
male,S
male,S
male,S
male,Q
female,S
male,S
male,C
male,S
male,S
female,C
male,S
male,S
female,S
male,C
male,S
male,S
female,S
male,S
female,Q
male,S
male,Q
male,S
female,S
male,S
female,S
male,S
female,C
female,C
male,Q
male,S
female,Q
female,S
male,S
male,S
male,S
male,C
male,S
female,S
male,S
male,C
female,Q
male,C
male,S
female,S
male,S
male,S
male,Q
female,C
female,S
male,S
female,C
male,S
male,S
male,S
male,S
male,S
male,S
male,S
male,S
male,S
male,S
female,S
female,S
male,S
male,S
female,S
male,S
female,S
male,S
female,S
male,S
male,S
female,C
female,Q
male,S
male,S
male,C
male,Q
female,S
female,S
male,S
male,S
male,S
female,S
male,S
male,S
female,S
female,C
female,C
female,S
female,C
female,S
male,Q
male,S
male,S
male,S
female,Q
male,S
male,S
male,S
female,S
female,S
male,S
male,S
female,S
male,C
female,Q
female,S
female,S
male,S
male,Q
female,S
male,Q
male,S
male,S
male,S
male,S
male,C
male,S
male,S
male,S
female,Q
female,S
female,C
male,C
female,S
male,S
male,C
male,C
female,S
male,S
female,C
female,Q
male,Q
male,S
female,Q
male,S
male,S
female,C
female,C
male,C
female,C
female,C
female,C
female,S
male,S
male,S
female,S
female,S
male,S
female,S
female,C
male,S
male,S
female,Q
female,S
male,S
female,C
male,S
female,S
female,S
female,C
female,Q
male,S
male,S
male,S
female,S
male,S
male,S
female,C
male,S
male,S
male,S
female,S
male,S
male,S
male,S
female,S
female,S
female,S
male,S
male,S
male,S
male,S
male,C
male,S
male,C
male,S
female,S
female,S
female,Q
female,Q
male,S
male,C
female,C
male,S
male,Q
male,S
female,C
female,C
female,Q
female,C
male,C
male,S
male,S
male,C
female,S
female,C
female,S
male,C
male,C
male,S
female,C
female,C
male,S
female,S
male,S
male,S
male,S
female,S
male,Q
female,C
male,S
male,S
male,S
female,C
female,S
male,S
female,S
male,S
male,S
female,S
male,S
male,S
female,S
male,S
female,S
male,S
male,S
male,S
male,S
female,S
male,S
male,Q
female,Q
male,S
male,S
female,S
female,S
female,S
male,S
female,S
male,C
male,Q
male,S
female,S
male,S
male,S
female,S
female,S
male,Q
male,S
male,S
female,S
female,S
male,S
male,S
female,S
female,S
female,S
male,S
male,S
female,S
male,S
male,S
female,S
male,S
male,S
female,S
male,S
female,C
male,S
male,S
male,S
male,C
male,C
male,S
male,C
male,S
female,S
female,S
male,Q
male,S
male,S
male,S
male,S
male,S
male,S
male,S
male,S
male,Q
female,C
male,S
male,S
female,S
female,C
female,S
male,S
male,S
male,S
male,S
female,S
male,S
male,S
male,S
female,S
male,C
female,S
female,S
male,C
male,S
male,S
male,S
male,S
male,S
male,C
male,S
male,C
female,C
male,S
female,S
male,S
male,S
female,Q
female,Q
female,S
female,S
male,C
female,S
male,S
male,S
male,S
male,Q
male,S
male,S
female,C
male,S
male,S
female,S
male,Q
female,S
male,S
female,S
male,S
male,C
female,C
male,C
male,Q
female,S
male,S
male,S
male,S
female,S
male,C
male,C
female,C
female,S
female,S
male,S
female,C
male,S
female,C
female,S
female,S
female,S
male,S
male,C
male,S
female,S
male,C
male,S
male,S
male,C
male,S
male,Q
male,C
female,S
male,S
female,C
male,C
female,S
female,S
male,Q
male,S
male,S
male,S
female,S
male,S
male,S
female,S
male,C
male,S
male,S
female,S
male,S
female,Q
male,S
male,S
female,S
female,S
female,C
male,S
female,S
female,C
male,S
male,C
male,C
female,S
male,S
male,C
male,S
male,S
male,S
female,C
male,S
female,Q
male,S
male,S
female,S
male,S
male,C
male,C
female,S
male,S
male,S
male,S
male,C
male,S
male,S
male,S
female,C
female,S
female,S
male,S
female,Q
male,Q
male,S
female,S
male,S
female,S
female,S
male,S
male,C
male,S
male,C
male,S
male,S
male,S
male,Q
female,S
male,S
male,Q
male,S
male,S
male,C
male,S
female,S
female,S
male,S
male,S
female,S
male,S
male,S
female,C
female,S
male,S
female,C
male,C
male,S
male,C
male,S
female,S
male,S
female,S
male,S
female,Q
female,Q
male,S
male,S
female,Q
male,S
male,C
male,S
male,C
male,S
male,S
male,S
male,S
male,S
male,S
male,S
female,S
female,S
male,S
male,S
male,S
male,S
male,S
male,S
female,S
female,S
male,C
female,Q
male,C
male,S
male,S
male,S
male,C
male,S
male,S
male,S
female,S
male,S
female,C
male,S
male,C
male,S
male,S
male,S
female,Q
male,C
male,S
female,C
male,S
female,C
male,Q
male,S
male,S
female,S
male,S
female,S
male,C
female,C
male,S
male,S
male,S
male,S
male,S
female,C
female,S
male,Q
male,S
female,S
male,S
male,S
male,S
male,S
male,S
female,S
female,Q
male,S
female,S
female,S
male,C
male,S
male,S
male,S
male,S
female,S
male,C
male,S
male,S
male,S
male,S
female,C
male,S
male,S
male,S
male,S
female,S
male,S
male,Q
female,S
male,S
male,S
male,S
female,S
male,S
male,S
male,S
male,S
female,S
male,S
male,S
male,C
female,S
male,S
female,S
male,C
female,Q
male,Q
male,S
male,S
male,S
female,S
male,C
female,S
male,S
male,Q
female,S
male,Q
female,S
female,C
female,S
male,S
male,S
male,S
male,S
female,S
male,Q
male,S
male,C
male,Q
male,S
female,S
male,C
male,S
male,S
female,S
female,S
male,C
female,S
male,S
female,S
male,S
male,C
male,S
male,S
male,S
female,S
male,S
female,S
male,S
male,S
male,S
female,S
male,S
male,S
female,S
male,C
male,S
male,S
female,S
male,S
male,S
female,S
male,S
male,Q
male,S
male,C
male,Q
female,
female,C
male,S
male,C
male,S
male,S
female,C
male,S
male,S
male,S
male,C
male,S
male,S
female,C
male,C
male,S
male,S
male,S
male,C
male,S
female,C
male,S
male,S
female,C
female,S
female,S
female,S
female,S
male,S
female,C
male,C
male,S
male,S
female,S
female,S
male,S
female,S
female,C
male,S
male,S
male,S
male,S
female,S
male,S
male,S
female,C
female,C
male,S
male,S
male,S
female,C
female,S
male,S
female,S
male,S
male,S
female,Q
male,S
female,S
female,S
male,C
male,Q
